id	nicknames
Jenny	Jenny, Jen
Jensen	Jensen
Jeramiah	Jeramiah
Jeremiah	Jeremiah
Jeremy	Jeremy
Jerimiah	Jerimiah
Jermaine	Jermaine
Jerome	Jerome
Jerry	Jerry
Jesse	Jesse
Jessica	Jess
Jessie	Jessie
Jesus	Jesus
Jett	Jett
Jewel	Jewel
Jillian	Jillian
Jimena	Jimena
Jimmy	Jimmy
Joanna	Joanna
Joaquin	Joaquin
Jocelyn	Jocelyn
Jocelynn	Jocelynn
Joe	Joe
Joel	Joel
Joey	Joey
Johan	Johan
Johann	Johann
Johanna	Johanna
John	John
Johnathan	John
Johnathon	John
Johnny	Johnny
Jolene	Jolene
Jolie	Jolie
Jon	Jon
Jonah	Jonah
Jonas	Jonas
Jonathan	Jon
Jonathon	Jon
Jordan	Jordan
Jorden	Jorden
Jordyn	Jordyn
Jordynn	Jordynn
Jorge	Jorge
Jose	Jose
Joselyn	Joselyn
Joseph	Joseph
Josephine	Josephine
Joshua	Joshua
Josiah	Josiah
Josie	Josie
Joslyn	Joslyn
Josue	Josue
Journee	Journee
Journey	Journey
Jovani	Jovani
Jovanni	Jovanni
Joy	Joy
Joyce	Joyce
Joziah	Joziah
Juan	Juan
Judah	Judah
Jude	Jude
Judith	Judith
Julia	Julia
Julian	Julian
Juliana	Juliana
Julianna	Julianna
Julianne	Julianne
Julie	Julie
Julien	Julie
Juliet	Julie
Julieta	Julie
Juliette	Julie
Julio	Julio
Julissa	Julie
Julius	Julius
June	June
Junior	Junior
Juniper	Juniper
Justice	Justice
Justin	Justin
Justus	Justus
Kade	Kade
Kaden	Kaden
Kadence	Kadence
Kaeden	Kaeden
Kael	Kael
Kaelyn	Kaelyn
Kaelynn	Kaelynn
Kai	Kai
Kaia	Kaia
Kaiden	Kaiden
Kailee	Kailee
Kailey	Kailey
Kailyn	Kailyn
Kailynn	Kailynn
Kairi	Kairi
Kaitlin	Kaitlin
Kaitlyn	Kaitlyn
Kaitlynn	Kaitlynn
Kaiya	Kaiya
Kale	Kale
Kaleb	Kaleb
Kaleigh	Kaleigh
Kali	Kali
Kaliyah	Kaliyah
Kallie	Kallie
Kamari	Kamari
Kamden	Kamden
Kameron	Kameron
Kamila	Kamila
Kamille	Kamille
Kamren	Kamren
Kamron	Kam
Kamryn	Kamryn
Kane	Kane
Kara	Kara
Kareem	Kareem
Karen	Karen
Karina	Karina
Karis	Karis
Karissa	Karissa
Karla	Karla
Karlee	Karlee
Karlie	Karlie
Karly	Karly
Karma	Karma
Karson	Karson
Karsyn	Karsyn
Karter	Karter
Kasen	Kasen
Kasey	Kasey
Kash	Kash
Kason	Kason
Kassandra	Kassandra
Kassidy	Kass
Kate	Kate
Katelyn	Kate
Katelynn	Kate
Katherine	Kate, Kathy, Kat
Kathleen	Kate, Kathy, Kat
Kathryn	Kate, Kathy, Kat
Katie	Kate, Kathy, Kat
Kaya	Kaya
Kayden	Kayden
Kaydence	Kaydence
Kayla	Kayla
Kaylee	Kaylee
Kayleigh	Kayleigh
Kaylen	Kaylen
Kaylie	Kaylie
Kaylin	Kaylin
Kaylyn	Kaylyn
Kaylynn	Kaylynn
Kayson	Kayson
Keagan	Keagan
Keaton	Keaton
Keegan	Keegan
Keenan	Keenan
Keira	Keira
Keith	Keith
Kellan	Kellan
Kellen	Kellen
Kelly	Kelly
Kelsey	Kelsey
Kelsie	Kelsie
Kelvin	Kelvin
Kendal	Kendal
Kendall	Kendall
Kendra	Kendra
Kendrick	Ken
Kendyl	Kendyl
Kenley	Kenley
Kenna	Kenna
Kennedi	Kennedi
Kennedy	Kennedy
Kenneth	Ken
Kenny	Kenny
Kensley	Kensley
Kenya	Kenya
Kenzie	Kenzie
Keon	Keon
Kevin	Kevin
Keyla	Keyla
Keyon	Keyon
Khalil	Khalil
Khloe	Khloe
Kian	Kian
Kiana	Kiana
Kiara	Kiara
Kiera	Kiera
Kieran	Kieran
Kiersten	Kiersten
Kiley	Kiley
Killian	Killian
Kimber	Kimber
Kimberly	Kim
Kimora	Kim
King	King
Kingsley	King
Kingston	King
Kinley	Kinley
Kinsey	Kinsey
Kinsley	Kinsley
Kira	Kira
Kirsten	Kirsten
Knox	Knox
Kobe	Kobe
Kody	Kody
Kohen	Kohen
Kolby	Kolby
Kole	Kole
Kolten	Kolten
Kolton	Kolton
Konner	Konner
Konnor	Konnor
Korbin	Korbin
Kourtney	Kourtney
Krish	Krish
Kristen	Kristen
Kristian	Kristian
Kristina	Kristina
Kristopher	Kristopher
Krystal	Krystal
Kyan	Kyan
Kyla	Kyla
Kylah	Kylah
Kylan	Kylan
Kyle	Kyle
Kylee	Kylee
Kyleigh	Kyleigh
Kyler	Kyler
Kylie	Kylie
Kymani	Kymani
Kyndal	Kyndal
Kyndall	Kyndall
Kynlee	Kynlee
Kyra	Kyra
Kyron	Kyron
Kyson	Kyson
Lacey	Lacey
Laila	Laila
Lailah	Lailah
Lainey	Lainey
Lamar	Lamar
Lana	Lana
Lance	Lance
Landen	Landen
Landon	Landon
Landry	Landry
Landyn	Landyn
Lane	Lane
Laney	Laney
Lara	Lara
Larissa	Larissa
Larry	Larry
Lathan	Lathan
Laura	Laura
Laurel	Laurel
Lauren	Lauren
Lauryn	Lauryn
Lawrence	Larry
Lawson	Lawson
Layla	Layla
Laylah	Laylah
Layne	Layne
Layton	Layton
Lea	Lea
Leah	Leah
Leandro	Leandro
Leanna	Leanna
Lee	Lee
Legend	Legend
Leia	Leia
Leigha	Leigha
Leighton	Leighton
Leila	Leila
Leilani	Leilani
Leland	Leland
Lena	Lena
Lennon	Lennon
Lennox	Lennox
Leo	Leo
Leon	Leon
Leona	Leona
Leonard	Lenny, Len, Leo
Leonardo	Lenny, Len, Leo
Leonel	Lenny, Len, Leo
Leonidas	Lenny, Len, Leo
Leslie	Leslie
Lesly	Lesly
Levi	Levi
Lewis	Lewis
Lexi	Lex
Lexie	Lex
Leyla	Leyla
Lia	Lia
Liam	Liam
Liana	Liana
Libby	Lib
Liberty	Lib
Lila	Lila
Lilah	Lilah
Lilia	Lilia
Lilian	Lily
Liliana	Lily
Lilianna	Lily
Lilith	Lily
Lillian	Lily
Lilliana	Lily
Lillianna	Lily
Lillie	Lily
Lilly	Lilly
Lily	Lily
Lilyana	Lilyana
Lilyanna	Lilyanna
Lina	Lina
Lincoln	Lincoln
Linda	Linda
Lindsay	Lindsay
Lindsey	Lindsey
Lionel	Lionel
Lisa	Lisa
Liv	Liv
Livia	Livia
Lizbeth	Lizbeth
Logan	Logan
Lola	Lola
London	London
Londyn	Londyn
Lorelai	Lorelai
Lorelei	Lorelei
Lorenzo	Enzo
Louis	Louis
Luca	Luca
Lucas	Luke
Lucia	Lucia
Lucian	Lucian
Luciana	Luciana
Luciano	Luciano
Lucille	Lucille
Lucy	Lucy
Luis	Luis
Luka	Luka
Lukas	Lukas
Luke	Luke
Luna	Luna
Luz	Luz
Lydia	Lydia
Lyla	Lyla
Lylah	Lylah
Lyric	Lyric
Macey	Macey
Maci	Maci
Macie	Macie
Mackenzie	Mackenzie
Macy	Macy
Madalyn	Maddie
Madalynn	Maddie
Madden	Madden
Maddison	Maddie
Maddox	Maddox
Madeleine	Madeleine
Madeline	Maddie
Madelyn	Madelyn
Madelynn	Maddie
Madilyn	Maddie
Madilynn	Maddie
Madison	Maddie
Madisyn	Maddie
Madyson	Maddie
Mae	Mae
Maeve	Maeve
Maggie	Maggie
Maia	Maia
Major	Major
Makai	Makai
Makayla	Makayla
Makenna	Makenna
Makenzie	Makenzie
Makhi	Makhi
Maksim	Maksim
Malachi	Malachi
Malakai	Malakai
Malaki	Malaki
Malaya	Malaya
Malaysia	Malaysia
Malcolm	Malcolm
Maleah	Maleah
Malia	Malia
Maliah	Maliah
Malik	Mal
Maliyah	Maliyah
Mallory	Mallory
Manuel	Manny
Mara	Mara
Marc	Marc
Marcel	Marcel
Marcelo	Marcelo
Marco	Marco
Marcos	Marcos
Marcus	Marcus
Margaret	Marge, Peg, Peggy
Margot	Maggie
Maria	Maria
Mariah	Mariah
Mariam	Mariam
Mariana	Mariana
Marianna	Marianna
Mariano	Mariano
Marie	Marie
Marigold	Maggie
Marilyn	Marilyn
Marina	Marina
Mario	Mario
Marisa	Marisa
Marisol	Marisol
Marissa	Marissa
Maritza	Maritza
Mariyah	Mariyah
Mark	Mark
Markus	Markus
Marlee	Marlee
Marlene	Marlene
Marley	Marley
Marlon	Marlon
Marquis	Marquis
Marshall	Marsh
Martha	Martha
Martin	Marty
Marvin	Marv
Mary	Polly
Maryam	Maryam
Masen	Masen
Mason	Mason
Mateo	Matt
Mathew	Matt
Mathias	Mathias
Matias	Matias
Matilda	Matilda
Matteo	Matt
Matthew	Matt
Matthias	Matt
Mattie	Mattie
Maurice	Maurice
Mauricio	Mauricio
Maverick	Maverick
Max	Max
Maxim	Max
Maximilian	Max
Maximiliano	Max
Maximo	Max
Maximus	Max
Maxton	Max
Maxwell	Max
Maxx	Maxx
Maya	Maya
Mayson	Mayson
Mckayla	Mckayla
Mckenna	Mckenna
Mckenzie	Kenzie
Mckinley	Mckinley
Meadow	Meadow
Megan	Megan
Meghan	Meghan
Mekhi	Mekhi
Melanie	Melanie
Melany	Melany
Melina	Melina
Melissa	Melissa
Melody	Melody
Melvin	Melvin
Memphis	Memphis
Mercedes	Mercy, Sadie
Meredith	Meredith
Messiah	Messiah
Mia	Mia
Miah	Miah
Micah	Micah
Michael	Mike
Michaela	Michaela
Micheal	Mike
Michelle	Michelle
Miguel	Mike
Mikaela	Mikaela
Mikayla	Mikayla
Mike	Mike
Mila	Mila
Milagros	Milagros
Milan	Milan
Milana	Milana
Milania	Milania
Miles	Miles
Miley	Miley
Miller	Miller
Millie	Millie
Milo	Milo
Mina	Mina
Mira	Mira
Miracle	Miracle
Miranda	Miranda
Miriam	Miriam
Misael	Misael
Mitchell	Mitchell
Miya	Miya
Mohamed	Md
Mohammad	Md
Mohammed	Md
Moises	Moises
Mollie	Mollie
Molly	Molly
Monica	Monica
Morgan	Morgan
Moriah	Moriah
Moses	Moses
Moshe	Moshe
Muhammad	Md
Mustafa	Mustafa
Mya	Mya
Myah	Myah
Myla	Myla
Myles	Myles
Myra	Myra
Nadia	Nadia
Nahla	Nahla
Nancy	Nancy
Naomi	Naomi
Nash	Nash
Nasir	Nas
Natalee	Nat
Natalia	Nat
Natalie	Nat
Nataly	Nat
Natalya	Nat
Natasha	Nat
Nathalie	Nat
Nathaly	Nat
Nathan	Nat
Nathanael	Nathan
Nathaniel	Nathan
Nayeli	Nayeli
Nehemiah	Nehemiah
Neil	Neil
Nelson	Nelson
Nevaeh	Nevaeh
Neveah	Neveah
Nia	Nia
Nicholas	Nick
Nickolas	Nick
Nico	Nico
Nicolas	Nick
Nicole	Nicki
Niko	Niko
Nikolai	Nikolai
Nikolas	Nikolas
Nina	Nina
Nixon	Nixon
Noah	Noah
Noe	Noe
Noel	Noel
Noelle	Noelle
Noemi	Noemi
Nola	Nola
Nolan	Nolan
Nora	Nora
Norah	Norah
Nova	Nova
Nyla	Nyla
Nylah	Nylah
Odin	Odin
Olive	Liv
Oliver	Oliver
Olivia	Liv
Omar	Omar
Omari	Omari
Orion	Orion
Orlando	Orlando
Oscar	Oscar
Osvaldo	Osvaldo
Otto	Otto
Owen	Owen
Pablo	Pablo
Paige	Paige
Paisley	Paisley
Paityn	Paityn
Paloma	Paloma
Pamela	Pamela
Paola	Paola
Paris	Paris
Parker	Parker
Patience	Pat, Patty
Patricia	Pat, Patty
Patrick	Pat, Patty
Paul	Paul
Paula	Paula
Paulina	Paulina
Paxton	Paxton
Payten	Payten
Payton	Payton
Pearl	Pearl
Pedro	Pedro
Penelope	Pen
Perla	Perla
Peter	Pete
Peyton	Peyton
Philip	Phil
Phillip	Phil
Phoebe	Phoebe
Phoenix	Phoenix
Pierce	Pierce
Pierre	Pierre
Piper	Piper
Porter	Porter
Presley	Presley
Preston	Preston
Prince	Prince
Princess	Princess
Princeton	Princeton
Priscilla	Priscilla
Prudence	Prue, Prudy
Quentin	Quentin
Quincy	Quincy
Quinn	Quinn
Quinten	Quinten
Quintin	Quintin
Quinton	Quinton
Rachael	Rachael
Rachel	Rachel
Raegan	Raegan
Raelyn	Raelyn
Raelynn	Raelynn
Rafael	Rafael
Raiden	Raiden
Raina	Raina
Ralph	Ralph
Ramiro	Ramiro
Ramon	Ramon
Randall	Randy
Randy	Randy
Raphael	Raphael
Raquel	Raquel
Rashad	Rashad
Raul	Raul
Raven	Raven
Ray	Ray
Rayan	Rayan
Rayden	Rayden
Raylan	Raylan
Raymond	Ray
Rayna	Rayna
Rayne	Rayne
Reagan	Reagan
Rebecca	Becca
Rebekah	Bekah
Reece	Reece
Reed	Reed
Reese	Reese
Regan	Regan
Regina	Regina
Reginald	Reggie
Reid	Reid
Remington	Remy
Remy	Remy
Renata	Renata
Rene	Rene
Renee	Renee
Reuben	Reuben
Rex	Rex
Rey	Rey
Reyna	Reyna
Rhett	Rhett
Rhys	Rhys
Ricardo	Ricardo
Richard	Rick
Ricky	Ricky
Rihanna	Rihanna
Riley	Riley
River	River
Rivka	Rivka
Riya	Riya
Robert	Bob, Boddy, Rob, Robbie, Robin
Roberto	Bob, Boddy, Rob, Robbie, Robin
Rocco	Rocco
Roderick	Rod
Rodney	Rod
Rodolfo	Rod
Rodrigo	Rod
Rogelio	Rog
Roger	Rog
Rohan	Rohan
Roland	Rollie
Rolando	Rolando
Roman	Roman
Romeo	Romeo
Ronald	Ron
Ronan	Ron
Ronin	Ronin
Ronnie	Ronnie
Rory	Rory
Rosa	Rosie
Rosalie	Rosie
Rose	Rosie
Roselyn	Rosie
Rosemary	Rosie
Ross	Ross
Rowan	Rowan
Rowen	Rowen
Roy	Roy
Royce	Royce
Ruben	Ruben
Ruby	Ruby
Rudy	Rudy
Russell	Russ
Ruth	Ruthie
Ryan	Ryan
Ryann	Ryann
Ryder	Ryder
Ryker	Ryker
Rylan	Rylan
Ryland	Ryland
Rylee	Rylee
Ryleigh	Ryleigh
Rylen	Rylen
Rylie	Rylie
Saanvi	Saanvi
Sabrina	Sabrina
Sadie	Sadie
Sage	Sage
Saige	Saige
Salma	Salma
Salvador	Sal
Salvatore	Sal
Sam	Sam
Samantha	Samantha
Samara	Samara
Samir	Sam
Samiya	Sam
Samiyah	Sam
Samson	Sam
Samuel	Sam, Sammie
Sanaa	Sanaa
Sandra	Sandra
Saniya	Saniya
Saniyah	Saniyah
Santiago	Santiago
Santino	Tino
Santos	Santos
Sara	Sara
Sarah	Sally
Sarahi	Sarahi
Sarai	Sarai
Sariah	Sariah
Sariyah	Sariyah
Sasha	Sasha
Saul	Saul
Savanna	Savanna
Savannah	Savannah
Sawyer	Sawyer
Scarlet	Scarlet
Scarlett	Scarlett
Scott	Scottie
Seamus	Seamus
Sean	Sean
Sebastian	Seb
Selah	Selah
Selena	Selena
Semaj	Semaj
Serena	Serena
Serenity	Serenity
Sergio	Sergio
Seth	Seth
Shane	Shane
Shania	Shania
Shaniya	Shaniya
Shannon	Shannon
Sharon	Sharon
Shaun	Shaun
Shawn	Shawn
Shayla	Shayla
Shelby	Shelby
Sherlyn	Sherlyn
Shiloh	Shiloh
Sidney	Sidney
Siena	Siena
Sienna	Sienna
Sierra	Sierra
Silas	Silas
Simon	Simon
Simone	Simone
Sincere	Sincere
Sky	Sky
Skye	Skye
Skyla	Skyla
Skylar	Sky
Skyler	Sky
Sloan	Sloan
Sloane	Sloane
Sofia	Sofia
Solomon	Solomon
Sonia	Sonia
Sonny	Sonny
Sophia	Sophie
Sophie	Sophie
Sophronia	Fran
Soren	Soren
Spencer	Spencer
Stacy	Stacy
Stanley	Stan
Stefan	Stefan
Stella	Stella
Stephanie	Stephanie
Stephen	Stephen
Sterling	Sterling
Steve	Steve
Steven	Steven
Sue	Sue, Susie
Sullivan	Sullivan
Summer	Summer
Susan	Sue, Susie
Sydney	Sydney
Sylas	Sylas
Sylvia	Sylvia
Tabitha	Tabitha
Talia	Talia
Taliyah	Taliyah
Talon	Talon
Tamia	Tamia
Tanner	Tanner
Tara	Tara
Taraji	Taraji
Taryn	Taryn
Tate	Tate
Tatiana	Tatiana
Tatum	Tatum
Taylor	Taylor
Teagan	Teagan
Tegan	Tegan
Temperance	Temperance
Tenley	Tenley
Teresa	Teresa
Terrance	Terrance
Terrell	Terrell
Terrence	Terry
Terry	Terry
Tess	Tess
Tessa	Tessa
Thaddeus	Thaddeus
Thalia	Thalia
Theo	Theo
Theodore	Ted
Thomas	Tom
Tia	Tia
Tiana	Tiana
Tianna	Tianna
Tiffany	Tiffany
Timothy	Timothy
Tinley	Tinley
Titus	Titus
Tobias	Toby
Toby	Toby
Todd	Todd
Tomas	Tom
Tommy	Tommy
Tony	Tony
Tori	Tori
Trace	Trace
Travis	Trav
Trent	Trent
Trenton	Trenton
Trevon	Trevon
Trevor	Trevor
Trey	Trey
Trinity	Trinity
Tripp	Tripp
Tristan	Tristan
Tristen	Tristen
Tristian	Tristian
Tristin	Tristin
Triston	Triston
Troy	Troy
Trystan	Trystan
Tucker	Tucker
Turner	Turner
Ty	Ty
Tyler	Ty
Tyree	Ty
Tyrell	Ty
Tyrese	Ty
Tyrone	Ty
Tyson	Ty
Ulises	Ulises
Uriah	Uriah
Uriel	Uriel
Urijah	Urijah
Valentin	Valentin
Valentina	Tina
Valentino	Tino
Valeria	Val
Valerie	Val
Van	Van
Vance	Vance
Vanessa	Vanessa
Vaughn	Vaughn
Vera	Vera
Veronica	Veronica
Vicente	Vic
Victor	Vic
Victoria	Vicky, Vic
Vihaan	Vihaan
Vincent	Vinny
Vincenzo	Vinny
Violet	Lettie
Virginia	Virginia
Vivian	Viv, Vivi
Viviana	Viv, Vivi
Vivienne	Viv, Vivi
Wade	Wade
Walker	Walker
Walter	Walter
Warren	Warren
Waylon	Waylon
Wayne	Wayne
Wendy	Wendy
Wesley	Wesley
Westin	Westy
Weston	Weston
Whitney	Whitney
Will	Will
Willa	Willa
William	Bill, Will, Willie
Willie	Willie
Willow	Willow
Wilson	Wilson
Winnifred	Winnie
Winston	Win
Wyatt	Wyatt
Xander	Xander
Xavi	Xavi
Xavier	Xavier
Ximena	Ximena
Xzavier	Xzavier
Yadiel	Yadiel
Yahir	Yahir
Yamilet	Yamilet
Yamileth	Yamileth
Yandel	Yandel
Yareli	Yareli
Yaretzi	Yaretzi
Yaritza	Yaritza
Yasmin	Yas
Yazmin	Yaz
Yehuda	Yehuda
Yesenia	Yesenia
Yosef	Yosef
Yoselin	Yoselin
Yuliana	Yulia
Yusuf	Yusuf
Zachariah	Zach, Zak
Zachary	Zach, Zak
Zachery	Zach, Zak
Zackary	Zach, Zak
Zackery	Zach, Zak
Zaiden	Zaiden
Zain	Zain
Zaire	Zaire
Zander	Zander
Zane	Zane
Zaniyah	Zaniyah
Zara	Zara
Zaria	Zaria
Zariah	Zariah
Zariyah	Zariyah
Zavier	Zavier
Zayden	Zayden
Zayne	Zayne
Zechariah	Zach, Zeke
Zeke	Zeke
Zion	Zion
Zoe	Zoe
Zoey	Zoey
Zoie	Zoie
Zuri	Zuri
